feature,value,kind
categorical__neighbourhood_Allerton,0.0,importance
categorical__neighbourhood_Bayside,0.0,importance
categorical__neighbourhood_Civic Center,0.0,importance
categorical__neighbourhood_Middle Village,0.0,importance
categorical__neighbourhood_Kingsbridge,0.0,importance
categorical__neighbourhood_Kew Gardens,0.0,importance
categorical__neighbourhood_Flatiron District,0.0,importance
categorical__neighbourhood_Glendale,0.0,importance
categorical__neighbourhood_Fresh Meadows,0.0,importance
categorical__neighbourhood_Fort Hamilton,0.0,importance
categorical__neighbourhood_Gravesend,0.0,importance
categorical__neighbourhood_Far Rockaway,0.0,importance
categorical__neighbourhood_Fordham,0.0,importance
categorical__neighbourhood_Belmont,0.0,importance
categorical__neighbourhood_Briarwood,0.0,importance
categorical__neighbourhood_DUMBO,0.0,importance
categorical__neighbourhood_Columbia St,0.0,importance
categorical__neighbourhood_Concourse,0.0,importance
categorical__neighbourhood_Concourse Village,0.0,importance
categorical__neighbourhood_Claremont Village,0.0,importance
categorical__neighbourhood_Stapleton,0.0,importance
categorical__neighbourhood_Stuyvesant Town,0.0,importance
categorical__neighbourhood_Rosedale,0.0,importance
categorical__neighbourhood_Pelham Gardens,0.0,importance
categorical__neighbourhood_Parkchester,0.0,importance
categorical__neighbourhood_Port Morris,0.0,importance
categorical__neighbourhood_Queens Village,0.0,importance
categorical__neighbourhood_Norwood,0.0,importance
categorical__neighbourhood_NoHo,0.0,importance
categorical__neighbourhood_South Ozone Park,0.0,importance
categorical__neighbourhood_Williamsbridge,0.0,importance
categorical__neighbourhood_Tompkinsville,0.0,importance
categorical__neighbourhood_Vinegar Hill,0.0,importance
categorical__neighbourhood_Wakefield,0.0,importance
categorical__neighbourhood_Two Bridges,0.0,importance
